,me_change
782,1576486.875
783,1567840.25
784,1558537.0
785,1548398.375
786,1537394.75
787,1525197.375
788,1511093.125
789,1498004.25
790,1488182.75
791,1481936.5
792,1480777.875
793,1479332.0
794,1477324.25
795,1472621.75
796,1466794.25
797,1460015.375
798,1452716.5
799,1445814.25
800,1440039.5
801,1435293.5
802,1431051.875
803,1426154.875
804,1421109.875
805,1416136.5
806,1411255.625
807,1404491.5
808,1396437.0
809,1388666.875
810,1373789.875
811,1355358.5
812,1338611.875
813,1324988.75
814,1315602.0
815,1308959.625
816,1304330.75
817,1298190.375
818,1290637.75
819,1280478.75
820,1272248.875
821,1267219.625
822,1261314.125
823,1254666.125
824,1247467.75
825,1239778.875
826,1231677.5
827,1223436.875
828,1218378.125
829,1213164.5
830,1207880.75
831,1202675.25
832,1197917.125
833,1193173.5
834,1188447.125
835,1183736.875
836,1179060.625
837,1174774.875
838,1170545.625
839,1166180.5
840,1161775.875
841,1157160.375
842,1152243.25
843,1147526.125
844,1143744.875
845,1139162.25
846,1134870.0
847,1131524.75
848,1127744.875
849,1123657.5
850,1119433.875
851,1114943.875
852,1110345.25
853,1105535.625
854,1100359.5
855,1098889.625
856,1098086.625
857,1094673.875
858,1089864.375
859,1085521.25
860,1080248.375
861,1077912.0
862,1076282.0
863,1074855.375
864,1072365.875
865,1068955.125
866,1065041.25
867,1061626.25
868,1057963.5
869,1056738.0
870,1055358.875
871,1052793.375
872,1048561.6875
873,1045022.75
874,1043461.9375
875,1041557.125
876,1039141.125
877,1036251.875
878,1033403.9375
879,1032025.1875
880,1030393.4375
881,1027706.0
882,1025057.875
883,1023507.5
884,1021789.25
885,1019628.875
886,1017082.0
887,1015440.75
888,1013826.875
889,1011370.75
890,1009950.5625
891,1008609.0
892,1006858.6875
893,1004755.875
894,1002825.3125
895,1001461.4375
896,999570.4375
897,998085.4375
898,996695.8125
899,994910.9375
900,993106.8125
901,991508.6875
902,989658.25
903,987844.625
904,986021.75
905,984062.1875
906,982752.25
907,980624.125
908,977571.8125
909,974977.25
910,972634.5625
911,970239.125
912,967136.75
913,964493.875
914,962279.0625
